,fileid,age,mlu,utterance
935,Warren/katie.xml,28,[4.274074074074074], four i see fourteen 
936,Warren/louise.xml,63,[4.954545454545454], twelve 
937,Warren/louise.xml,63,[4.954545454545454], no twelve books in twelve um you read twelve books 
938,Warren/louise.xml,63,[4.954545454545454], i think it was eleven 
939,Warren/louise.xml,63,[4.954545454545454], eleven 
940,Warren/louise.xml,63,[4.954545454545454], on eleven 
941,Warren/sandra.xml,74,[5.759124087591241], eight plus eight equals sixteen 
942,Warren/susan.xml,73,[7.263513513513513], cough cough in our house and parents colored lines who tell you with twelve little girls and two straight lines they brush their teeth wait 
943,Weist/Emily/emi07.xml,33,[7.302631578947368], ah fourteen 
944,Weist/Emily/emi07.xml,33,[7.302631578947368], she s still fourteen and i can barely hold her 
945,Weist/Emily/emi20.xml,51,[5.635467980295567], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen 
946,Weist/Emily/emi20.xml,51,[5.635467980295567], what after sixteen 
947,Weist/Emily/emi20.xml,51,[5.635467980295567], seventeen eighteen nineteen twenty 
948,Weist/Emily/emi20.xml,51,[5.635467980295567], when i m sixteen i ll be bigger 
949,Weist/Emily/emi20.xml,51,[5.635467980295567], sixteen i ll be bigger 
950,Weist/Emily/emi20.xml,51,[5.635467980295567], when i m sixteen i ll grow up to be a big girl 
951,Weist/Emma/emm26.xml,53,[6.372262773722627], thirteen 
952,Weist/Matt/mat32.xml,45,[6.859060402684563], more then nineteen 
953,Weist/Matt/mat35.xml,47,[5.54], eleven 
954,Weist/Matt/mat35.xml,47,[5.54], do you see eleven 
955,Weist/Matt/mat35.xml,47,[5.54], twelve 
956,Weist/Matt/mat44.xml,51,[7.6525423728813555], twelve feet or nine feet long 
957,Weist/Matt/mat44.xml,51,[7.6525423728813555], count to fourteen 
958,Weist/Matt/mat46.xml,53,[5.946666666666666], yup zero dollars 
959,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars 
960,Weist/Matt/mat47.xml,53,[7.974137931034483], nineteen 
961,Weist/Matt/mat47.xml,53,[7.974137931034483], eighteen 
962,Weist/Matt/mat49.xml,55,[10.237037037037037], it s like twelve ten dollars ten dollars 
963,Weist/Matt/mat56.xml,60,[7.684210526315789], eleven 
964,Weist/Roman/rom25.xml,43,[12.074324324324325], five o zero five     years 
965,Weist/Roman/rom42.xml,56,[5.9245283018867925], and di this dis this is twelve this is twelve dollars 
966,Weist/Roman/rom42.xml,56,[5.9245283018867925], no but where is zero 
967,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero 
